beds,baths,area,price,county
1.0,2.0,110.83240431066518,930000, Dubai Residence Complex
4.0,4.0,445.93088071348944,3100000, Al Furjan
1.0,2.0,69.4908955778521,625000, Jumeirah Village Circle (JVC)
3.0,4.0,238.015607580825,1600000, Reem
5.0,6.0,489.59494611668526,3499999, Mudon
3.0,4.0,258.9186176142698,2850000, The Lakes
1.0,2.0,73.950204384987,757224, Al Furjan
7.0,9.0,743.2181345224824,17999000, The Lakes
1.0,2.0,80.82497212931996,1201000, Dubailand
1.0,1.0,78.22370865849128,774999, Jumeirah Village Triangle (JVT)
4.0,4.0,318.1902638424378,1600000, Jumeirah Village Circle (JVC)
2.0,3.0,128.39093273875883,1553888, Dubai Hills Estate
0.6,1.0,39.576365663322186,425000, Arjan
1.0,1.0,138.61018208844297,1000000, Jumeirah Lake Towers (JLT)
1.0,2.0,66.42512077294687,700000, Jumeirah Village Circle (JVC)
1.0,2.0,66.14641397250094,670000, Jumeirah Village Circle (JVC)
2.0,3.0,94.57450761798589,1567888, Dubai Hills Estate
1.0,2.0,93.08807134894091,600000, Dubai Sports City
1.0,2.0,69.21218877740617,1000000, Business Bay
3.0,4.0,232.25566703827576,2999995, The Lakes
0.6,1.0,52.67558528428094,615000, Jumeirah Lake Towers (JLT)
1.0,2.0,70.60572277963583,876180, Dubai Science Park
1.0,2.0,45.893719806763286,735888, Dubai Hills Estate
3.0,3.0,157.9338535860275,890000, Liwan
1.0,2.0,88.25715347454478,2090000, Business Bay
7.0,8.0,1181.0665180230399,11490000, Al Barari
0.6,1.0,43.19955406911929,415000, Jumeirah Village Triangle (JVT)
1.0,2.0,95.31772575250837,850000, Jumeirah Lake Towers (JLT)
3.0,3.0,228.1679672984021,1950000, The Springs
3.0,3.0,210.79524340393908,1550000, Motor City
1.0,1.0,65.03158677071721,644000, Meydan City
4.0,6.0,641.0256410256411,5310000, Jumeirah Golf Estate
2.0,3.0,116.12783351913788,1400000, The Views
